,filename,style
1428,28594.jpg,Impressionism
1429,53074.jpg,Realism
1435,90352.jpg,Impressionism
1437,33773.jpg,Realism
1441,52938.jpg,Realism
1448,63091.jpg,Impressionism
1452,8508.jpg,Realism
1453,62470.jpg,Realism
1459,82842.jpg,Impressionism
1461,59554.jpg,Symbolism
1474,23523.jpg,Impressionism
1476,15525.jpg,Symbolism
1488,95494.jpg,Impressionism
1493,50977.jpg,Impressionism
1495,58952.jpg,Impressionism
1500,26979.jpg,Impressionism
1505,20745.jpg,Impressionism
1506,58972.jpg,Impressionism
1512,5701.jpg,Impressionism
1517,55593.jpg,Expressionism
1519,84508.jpg,Realism
1523,38252.jpg,Impressionism
1524,76222.jpg,Impressionism
1531,34888.jpg,Impressionism
1533,11308.jpg,Impressionism
1550,88812.jpg,Realism
1554,18076.jpg,Realism
1556,54582.jpg,Realism
1562,70292.jpg,Impressionism
1563,14399.jpg,Expressionism
1565,86389.jpg,Impressionism
1569,86320.jpg,Symbolism
1570,40130.jpg,Impressionism
1572,61312.jpg,Realism
1575,4808.jpg,Impressionism
1582,97509.jpg,Impressionism
1588,9865.jpg,Impressionism
1589,73262.jpg,Expressionism
1604,20316.jpg,Realism
1605,14390.jpg,Realism
1606,102948.jpg,Realism
1607,15127.jpg,Impressionism
1613,24766.jpg,Impressionism
1614,95079.jpg,Impressionism
1617,58834.jpg,Symbolism
1627,41261.jpg,Realism
1630,7402.jpg,Realism
1632,72583.jpg,Symbolism
1638,10963.jpg,Symbolism
1639,94961.jpg,Realism
1640,92152.jpg,Expressionism
1645,5900.jpg,Realism
1650,81334.jpg,Impressionism
1652,9513.jpg,Realism
1653,12934.jpg,Realism
1658,32599.jpg,Realism
1659,45167.jpg,Realism
1660,36748.jpg,Realism
1661,30144.jpg,Realism
1666,11988.jpg,Realism
1682,43448.jpg,Impressionism
1692,28623.jpg,Realism
1699,94182.jpg,Symbolism
1705,9887.jpg,Expressionism
1716,51237.jpg,Realism
1718,3266.jpg,Impressionism
1725,57472.jpg,Realism
1737,22865.jpg,Realism
1739,96863.jpg,Symbolism
1740,65885.jpg,Expressionism
1748,10446.jpg,Realism
1754,71777.jpg,Impressionism
1765,74279.jpg,Impressionism
1770,80726.jpg,Impressionism
1775,78327.jpg,Expressionism
1776,30593.jpg,Impressionism
1779,1171.jpg,Impressionism
1782,54826.jpg,Realism
1789,61906.jpg,Expressionism
1790,81393.jpg,Realism
1796,55377.jpg,Symbolism
1803,44050.jpg,Symbolism
1810,57522.jpg,Impressionism
1819,83795.jpg,Symbolism
1828,46411.jpg,Symbolism
1840,65050.jpg,Realism
1855,68102.jpg,Impressionism
1856,73097.jpg,Realism
1862,83780.jpg,Expressionism
1866,95505.jpg,Impressionism
1872,69883.jpg,Realism
1877,5021.jpg,Realism
1881,19349.jpg,Symbolism
1885,63984.jpg,Realism
1892,94224.jpg,Realism
1895,72182.jpg,Realism
1905,64247.jpg,Impressionism
1911,8543.jpg,Expressionism
1912,37227.jpg,Impressionism
1925,65626.jpg,Realism
1927,82422.jpg,Impressionism
1934,51112.jpg,Symbolism
1935,38309.jpg,Impressionism
1938,57321.jpg,Impressionism
1940,63613.jpg,Realism
1946,66857.jpg,Symbolism
1951,77302.jpg,Symbolism
1954,75747.jpg,Symbolism
1956,5991.jpg,Realism
1957,69734.jpg,Symbolism
1959,5431.jpg,Symbolism
1971,66047.jpg,Symbolism
1977,12380.jpg,Symbolism
1978,2278.jpg,Realism
1981,10984.jpg,Impressionism
1985,80074.jpg,Impressionism
1987,75506.jpg,Realism
1988,62960.jpg,Realism
1991,82959.jpg,Realism
1996,31811.jpg,Impressionism
2003,6512.jpg,Expressionism
2006,2866.jpg,Realism
2008,60858.jpg,Symbolism
2009,87440.jpg,Realism
2023,25327.jpg,Expressionism
2026,41580.jpg,Realism
2027,98774.jpg,Realism
2030,9222.jpg,Realism
2038,63167.jpg,Realism
2059,13857.jpg,Realism
2063,36620.jpg,Realism
2064,32232.jpg,Impressionism
2072,83932.jpg,Expressionism
2080,54231.jpg,Realism
2084,45246.jpg,Realism
2085,45046.jpg,Symbolism
2086,56812.jpg,Realism
2087,63049.jpg,Expressionism
2099,53000.jpg,Realism
2101,43916.jpg,Impressionism
2105,96548.jpg,Impressionism
2107,60222.jpg,Impressionism
2108,81554.jpg,Expressionism
2110,75568.jpg,Realism
2115,39796.jpg,Impressionism
2116,36186.jpg,Expressionism
2119,98339.jpg,Impressionism
2120,82312.jpg,Expressionism
2123,46118.jpg,Realism
2125,61405.jpg,Symbolism
2127,41321.jpg,Impressionism
2128,47451.jpg,Realism
2129,47446.jpg,Realism
2132,88159.jpg,Impressionism
2133,33830.jpg,Realism
2137,9397.jpg,Realism
2139,44550.jpg,Realism
2140,19152.jpg,Expressionism
2144,100510.jpg,Realism
2146,74380.jpg,Realism
2151,50393.jpg,Impressionism
2152,59216.jpg,Realism
2158,78401.jpg,Realism
2163,16846.jpg,Impressionism
2167,19345.jpg,Expressionism
2168,80182.jpg,Impressionism
2170,54721.jpg,Realism
2174,26247.jpg,Expressionism
2175,51337.jpg,Realism
2178,74556.jpg,Symbolism
2190,70980.jpg,Expressionism
2195,46715.jpg,Symbolism
2199,2195.jpg,Symbolism
2200,67813.jpg,Realism
2202,56523.jpg,Impressionism
2204,73572.jpg,Symbolism
2205,55279.jpg,Realism
2206,89540.jpg,Expressionism
2209,74984.jpg,Realism
2212,43820.jpg,Impressionism
2216,101213.jpg,Expressionism
2218,101270.jpg,Realism
2220,33917.jpg,Realism
2225,22705.jpg,Symbolism
2233,18949.jpg,Realism
2248,67335.jpg,Impressionism
2268,59517.jpg,Realism
2272,64278.jpg,Realism
2279,41948.jpg,Symbolism
2280,82759.jpg,Impressionism
2292,85980.jpg,Realism
2298,39698.jpg,Impressionism
2300,10494.jpg,Realism
2315,78696.jpg,Realism
2316,39095.jpg,Impressionism
2318,35744.jpg,Realism
2335,47143.jpg,Symbolism
2346,46479.jpg,Impressionism
2347,79338.jpg,Realism
2354,88956.jpg,Impressionism
2357,23522.jpg,Realism
2360,70693.jpg,Realism
2365,27879.jpg,Expressionism
2368,27765.jpg,Impressionism
2373,58132.jpg,Symbolism
2376,58436.jpg,Symbolism
2391,81931.jpg,Expressionism
2400,45948.jpg,Realism
2410,72196.jpg,Impressionism
2420,23592.jpg,Realism
2422,54240.jpg,Impressionism
2424,97088.jpg,Impressionism
2434,65748.jpg,Expressionism
2435,52132.jpg,Realism
2438,60586.jpg,Symbolism
2442,10660.jpg,Realism
2444,53720.jpg,Realism
2447,18446.jpg,Impressionism
2448,58748.jpg,Expressionism
2471,9080.jpg,Realism
2480,84517.jpg,Realism
2481,59409.jpg,Realism
2485,14978.jpg,Realism
2488,67032.jpg,Impressionism
2491,89174.jpg,Realism
2492,27683.jpg,Realism
2493,10230.jpg,Realism
2494,80842.jpg,Impressionism
2495,2140.jpg,Symbolism
2499,96538.jpg,Realism
2502,18672.jpg,Symbolism
2504,55894.jpg,Impressionism
2511,99399.jpg,Realism
2516,27829.jpg,Expressionism
2518,54745.jpg,Realism
2520,87574.jpg,Symbolism
2528,8462.jpg,Realism
2532,76181.jpg,Realism
2553,71160.jpg,Realism
2566,27526.jpg,Impressionism
2567,99825.jpg,Symbolism
2573,14545.jpg,Realism
2590,22225.jpg,Realism
2620,95118.jpg,Expressionism
2621,101358.jpg,Realism
2625,53561.jpg,Realism
2628,99701.jpg,Realism
2633,85607.jpg,Realism
2635,82624.jpg,Impressionism
2637,57482.jpg,Realism
2642,49027.jpg,Expressionism
2643,37537.jpg,Realism
2647,83400.jpg,Realism
2651,57968.jpg,Impressionism
2654,25745.jpg,Impressionism
2659,64315.jpg,Realism
2660,22388.jpg,Realism
2663,11704.jpg,Impressionism
2664,67204.jpg,Impressionism
2670,38847.jpg,Realism
2672,73117.jpg,Impressionism
2675,34183.jpg,Impressionism
2678,41679.jpg,Impressionism
2686,62513.jpg,Impressionism
2690,83311.jpg,Impressionism
2691,10059.jpg,Symbolism
2695,100522.jpg,Realism
2707,38152.jpg,Symbolism
2711,72591.jpg,Impressionism
2716,86158.jpg,Realism
2720,76587.jpg,Impressionism
2728,53486.jpg,Impressionism
2729,65418.jpg,Realism
2730,94545.jpg,Symbolism
2736,97728.jpg,Realism
2745,38656.jpg,Realism
2747,61438.jpg,Impressionism
2748,41807.jpg,Symbolism
2749,78220.jpg,Symbolism
2751,46847.jpg,Realism
2754,986.jpg,Realism
2759,31847.jpg,Symbolism
2762,7359.jpg,Realism
2770,10421.jpg,Impressionism
2773,34647.jpg,Impressionism
2780,40037.jpg,Realism
2783,95390.jpg,Impressionism
2789,18829.jpg,Symbolism
2793,69568.jpg,Impressionism
2794,61040.jpg,Impressionism
2796,89721.jpg,Realism
2800,57040.jpg,Realism
2803,77001.jpg,Impressionism
2808,79082.jpg,Realism
2811,41768.jpg,Impressionism
2822,65670.jpg,Realism
2830,5308.jpg,Realism
2833,81766.jpg,Realism
2840,82596.jpg,Impressionism
2841,86290.jpg,Expressionism
2858,18120.jpg,Expressionism
2872,21602.jpg,Impressionism
2873,46283.jpg,Expressionism
2881,45074.jpg,Expressionism
2882,78501.jpg,Realism
2884,54245.jpg,Realism
2885,32927.jpg,Symbolism
2889,84951.jpg,Realism
2892,71295.jpg,Realism
2894,45697.jpg,Realism
2902,89731.jpg,Realism
2903,87066.jpg,Realism
2917,26182.jpg,Impressionism
2918,62027.jpg,Expressionism
2920,106.jpg,Realism
2921,82640.jpg,Expressionism
2922,61314.jpg,Expressionism
2924,98062.jpg,Expressionism
2928,66688.jpg,Impressionism
2929,44204.jpg,Impressionism
2931,96487.jpg,Realism
2938,6103.jpg,Impressionism
2942,41855.jpg,Realism
2943,61414.jpg,Realism
2955,9792.jpg,Realism
2965,70236.jpg,Impressionism
2966,43779.jpg,Realism
2976,71602.jpg,Symbolism
2979,77881.jpg,Expressionism
2989,46159.jpg,Symbolism
2997,42890.jpg,Realism
3004,49238.jpg,Symbolism
3025,1910.jpg,Expressionism
3045,20089.jpg,Impressionism
3047,8270.jpg,Realism
3050,50957.jpg,Expressionism
3053,87945.jpg,Realism
3055,41419.jpg,Realism
3056,50070.jpg,Impressionism
3059,39631.jpg,Expressionism
3066,74291.jpg,Impressionism
3068,84710.jpg,Realism
3072,80843.jpg,Realism
3076,7670.jpg,Symbolism
3077,13864.jpg,Realism
3080,2238.jpg,Impressionism
3086,10905.jpg,Impressionism
3090,78513.jpg,Realism
3092,38424.jpg,Impressionism
3096,25065.jpg,Symbolism
3099,50260.jpg,Realism
3103,37475.jpg,Expressionism
3105,753.jpg,Impressionism
3106,12204.jpg,Symbolism
3107,11459.jpg,Realism
3109,5082.jpg,Realism
3112,78591.jpg,Expressionism
3118,13035.jpg,Symbolism
3119,100479.jpg,Expressionism
3124,33460.jpg,Symbolism
3125,91432.jpg,Expressionism
3135,36223.jpg,Expressionism
3138,40820.jpg,Symbolism
3139,32698.jpg,Realism
3142,95854.jpg,Impressionism
3150,18385.jpg,Symbolism
3156,34460.jpg,Expressionism
3159,36143.jpg,Symbolism
3173,93290.jpg,Expressionism
3175,23367.jpg,Realism
3178,47397.jpg,Realism
3180,82636.jpg,Symbolism
3187,78840.jpg,Impressionism
3190,8774.jpg,Impressionism
3197,82366.jpg,Impressionism
3199,62516.jpg,Impressionism
3200,11028.jpg,Realism
3205,64461.jpg,Expressionism
3207,80010.jpg,Realism
3213,85571.jpg,Symbolism
3235,32819.jpg,Symbolism
3237,32153.jpg,Realism
3238,63949.jpg,Realism
3245,25088.jpg,Impressionism
3249,96357.jpg,Impressionism
3251,4865.jpg,Impressionism
3255,45651.jpg,Realism
3256,27944.jpg,Impressionism
3257,85713.jpg,Impressionism
3263,50124.jpg,Expressionism
3274,75174.jpg,Impressionism
3282,85337.jpg,Impressionism
3295,70117.jpg,Impressionism
3302,51077.jpg,Impressionism
3304,14313.jpg,Realism
3307,27026.jpg,Impressionism
3311,17440.jpg,Impressionism
3321,98103.jpg,Impressionism
3326,19644.jpg,Impressionism
3333,61041.jpg,Impressionism
3334,3342.jpg,Realism
3336,85644.jpg,Expressionism
3343,15656.jpg,Realism
3351,46469.jpg,Impressionism
3355,75547.jpg,Expressionism
3356,44890.jpg,Expressionism
3363,44692.jpg,Symbolism
3365,36444.jpg,Realism
3369,19945.jpg,Symbolism
3378,17337.jpg,Realism
3379,57481.jpg,Impressionism
3381,58105.jpg,Impressionism
3382,101979.jpg,Impressionism
3406,18730.jpg,Impressionism
3412,29902.jpg,Symbolism
3415,306.jpg,Symbolism
3417,74287.jpg,Realism
3422,65796.jpg,Realism
3427,83201.jpg,Impressionism
3446,61801.jpg,Impressionism
3449,90605.jpg,Realism
3452,96242.jpg,Symbolism
3454,55200.jpg,Realism
3457,5699.jpg,Impressionism
3460,67300.jpg,Realism
3464,67556.jpg,Realism
3466,60688.jpg,Impressionism
3469,22559.jpg,Realism
3472,94170.jpg,Impressionism
3475,14315.jpg,Expressionism
3476,21813.jpg,Impressionism
3477,43862.jpg,Impressionism
3478,66801.jpg,Realism
3480,102668.jpg,Expressionism
3493,62247.jpg,Symbolism
3494,38318.jpg,Realism
3505,75781.jpg,Impressionism
3515,44918.jpg,Expressionism
3521,34872.jpg,Impressionism
3522,81293.jpg,Impressionism
3526,93200.jpg,Expressionism
3527,75474.jpg,Realism
3542,81397.jpg,Impressionism
3543,9329.jpg,Impressionism
3546,86237.jpg,Impressionism
3547,18116.jpg,Impressionism
3562,14414.jpg,Expressionism
3570,29003.jpg,Impressionism
3574,90409.jpg,Impressionism
3585,22358.jpg,Realism
3589,24981.jpg,Impressionism
3595,15904.jpg,Impressionism
3609,804.jpg,Impressionism
3622,1059.jpg,Realism
3624,41830.jpg,Realism
3631,8936.jpg,Impressionism
3633,85191.jpg,Expressionism
3636,7971.jpg,Realism
3644,58358.jpg,Impressionism
3658,100863.jpg,Expressionism
3659,32147.jpg,Impressionism
3665,36706.jpg,Realism
3679,53246.jpg,Impressionism
3695,57661.jpg,Impressionism
3701,25383.jpg,Impressionism
3709,41579.jpg,Realism
3717,23249.jpg,Impressionism
3724,9395.jpg,Symbolism
3734,7866.jpg,Realism
3736,92070.jpg,Impressionism
3742,52197.jpg,Impressionism
3747,6054.jpg,Symbolism
3756,63836.jpg,Symbolism
3762,60131.jpg,Impressionism
3764,7474.jpg,Symbolism
3766,47432.jpg,Realism
3777,21479.jpg,Expressionism
3778,33058.jpg,Impressionism
3782,95955.jpg,Impressionism
3787,70196.jpg,Realism
3793,53830.jpg,Symbolism
3808,67988.jpg,Impressionism
3809,50436.jpg,Realism
3811,56853.jpg,Realism
3813,73840.jpg,Impressionism
3819,67497.jpg,Realism
3821,507.jpg,Realism
3826,41294.jpg,Symbolism
3827,70726.jpg,Realism
3828,77218.jpg,Realism
3833,31803.jpg,Impressionism
3834,81761.jpg,Expressionism
3843,51240.jpg,Realism
3846,88559.jpg,Impressionism
3851,100211.jpg,Impressionism
3852,64331.jpg,Expressionism
3855,19943.jpg,Realism
3856,67059.jpg,Symbolism
3866,74590.jpg,Realism
3868,66972.jpg,Realism
3872,36894.jpg,Impressionism
3874,28654.jpg,Symbolism
3877,35427.jpg,Impressionism
3880,32340.jpg,Expressionism
3890,37140.jpg,Impressionism
3891,75556.jpg,Symbolism
3892,67949.jpg,Realism
3893,73993.jpg,Impressionism
3894,57171.jpg,Symbolism
3896,21839.jpg,Expressionism
3909,28695.jpg,Realism
3912,69462.jpg,Symbolism
3913,66307.jpg,Impressionism
3917,14834.jpg,Expressionism
3919,92455.jpg,Impressionism
3923,5149.jpg,Realism
3929,102579.jpg,Impressionism
3930,46653.jpg,Realism
3933,96664.jpg,Impressionism
3934,5524.jpg,Impressionism
3943,73678.jpg,Symbolism
3945,97838.jpg,Symbolism
3950,55007.jpg,Impressionism
3960,11970.jpg,Impressionism
3961,26816.jpg,Symbolism
3966,40128.jpg,Realism
3973,53112.jpg,Impressionism
3977,69308.jpg,Realism
3980,4462.jpg,Impressionism
3982,69777.jpg,Realism
3985,35159.jpg,Symbolism
3988,7555.jpg,Realism
3991,64503.jpg,Expressionism
3992,24194.jpg,Realism
3999,23738.jpg,Realism
4006,21171.jpg,Realism
4009,79093.jpg,Impressionism
4011,8438.jpg,Realism
4015,1172.jpg,Symbolism
4019,78133.jpg,Impressionism
4020,92161.jpg,Expressionism
4025,69257.jpg,Realism
4027,96721.jpg,Impressionism
4031,94005.jpg,Realism
4035,53843.jpg,Impressionism
4037,73089.jpg,Symbolism
4040,101946.jpg,Realism
4041,41815.jpg,Impressionism
4046,33107.jpg,Impressionism
4048,103186.jpg,Impressionism
4049,8059.jpg,Realism
4057,19382.jpg,Realism
4062,9461.jpg,Symbolism
4063,21786.jpg,Expressionism
4064,33889.jpg,Impressionism
4068,52007.jpg,Impressionism
4079,11351.jpg,Symbolism
4087,34672.jpg,Realism
4090,1344.jpg,Realism
4098,68371.jpg,Realism
4111,36994.jpg,Expressionism
4114,28892.jpg,Expressionism
4120,33407.jpg,Impressionism
4122,34631.jpg,Realism
4124,24371.jpg,Impressionism
4125,9004.jpg,Symbolism
4130,54562.jpg,Impressionism
4132,13568.jpg,Realism
4134,37318.jpg,Impressionism
4135,65265.jpg,Realism
4139,10101.jpg,Expressionism
4141,29420.jpg,Impressionism
4152,34401.jpg,Expressionism
4153,47215.jpg,Impressionism
4158,89572.jpg,Symbolism
4162,1570.jpg,Impressionism
4167,59210.jpg,Symbolism
4172,57960.jpg,Symbolism
4176,65916.jpg,Impressionism
4177,50821.jpg,Realism
4178,69483.jpg,Expressionism
4181,102968.jpg,Symbolism
4182,53758.jpg,Impressionism
4187,29117.jpg,Impressionism
4188,59779.jpg,Impressionism
4189,72290.jpg,Impressionism
4195,81124.jpg,Realism
4198,10307.jpg,Realism
4205,84679.jpg,Realism
4212,85046.jpg,Realism
4216,94764.jpg,Impressionism
4233,34780.jpg,Expressionism
4239,17419.jpg,Expressionism
4240,97576.jpg,Realism
4241,56650.jpg,Expressionism
4246,72840.jpg,Realism
4251,5980.jpg,Realism
4252,42775.jpg,Expressionism
4254,52367.jpg,Impressionism
4257,34632.jpg,Impressionism
4260,24863.jpg,Impressionism
4266,8288.jpg,Realism
4271,30712.jpg,Realism
4272,5589.jpg,Symbolism
4273,73730.jpg,Expressionism
4274,15642.jpg,Realism
4286,97281.jpg,Impressionism
4287,79538.jpg,Expressionism
4295,45395.jpg,Realism
4302,39808.jpg,Expressionism
4303,54302.jpg,Impressionism
4308,7892.jpg,Realism
4315,7905.jpg,Realism
4319,37576.jpg,Realism
4320,72858.jpg,Realism
4326,10970.jpg,Impressionism
4332,3106.jpg,Symbolism
4335,35309.jpg,Expressionism
4337,31681.jpg,Realism
4340,10352.jpg,Symbolism
4350,8045.jpg,Realism
4351,99145.jpg,Impressionism
4359,100597.jpg,Symbolism
4368,86365.jpg,Impressionism
4371,89689.jpg,Symbolism
4372,4798.jpg,Expressionism
4373,22486.jpg,Impressionism
4383,93049.jpg,Realism
4384,1457.jpg,Expressionism
4389,101424.jpg,Impressionism
4391,92612.jpg,Symbolism
4396,1016.jpg,Impressionism
4401,26676.jpg,Impressionism
4403,82578.jpg,Symbolism
4413,61395.jpg,Expressionism
4419,801.jpg,Symbolism
4443,56458.jpg,Realism
4449,56828.jpg,Realism
4450,20597.jpg,Realism
4462,10661.jpg,Impressionism
4463,52455.jpg,Symbolism
4465,102675.jpg,Symbolism
4467,93602.jpg,Symbolism
4478,89983.jpg,Realism
4482,94319.jpg,Expressionism
